ensembl_id,chrom,window_start,window_end,window_len,biotype,in_gtf,n_neighbor_genes,target_cds,target_utr,target_exon_noncoding,target_intron,neighbor_exon,neighbor_intron,intergenic,raw_target_cds,raw_target_utr,raw_target_exon,raw_target_intron,raw_neighbor_exon,raw_intergenic,symbol,family
ENSG00000181409,17,81067919,81264526,196608,protein_coding,True,15,0.021453857421875,0.0448760986328125,0.0006917317708333334,0.216461181640625,0.14812215169270834,0.4899851481119792,0.07840983072916667,0.021453857421875,0.052571614583333336,0.06702168782552083,0.216461181640625,0.1614990234375,0.07840983072916667,AATK,kinase
ENSG00000097007,9,130614739,130811346,196608,protein_coding,True,7,0.0006917317708333334,0.006495157877604167,0.0,0.4928131103515625,0.07469685872395833,0.21094767252604166,0.21435546875,0.0006917317708333334,0.006495157877604167,0.0071868896484375,0.4928131103515625,0.07654825846354167,0.21435546875,ABL1,kinase
ENSG00000143322,1,179131380,179327987,196608,protein_coding,True,9,0.0022074381510416665,0.0015869140625,0.013524373372395834,0.4826863606770833,0.005035400390625,0.17183430989583334,0.3231252034505208,0.0022074381510416665,0.0015869140625,0.0173187255859375,0.4826863606770833,0.016103108723958332,0.3231252034505208,ABL2,kinase
ENSG00000182827,1,226088458,226285065,196608,protein_coding,True,6,0.008056640625,0.010157267252604166,4.0690104166666664e-05,0.19568888346354166,0.03240966796875,0.2722015380859375,0.4814453125,0.008056640625,0.010157267252604166,0.018254597981770832,0.19568888346354166,0.035130818684895836,0.4814453125,ACBD3,kinase
ENSG00000115170,2,157778043,157974650,196608,protein_coding,True,5,0.0027618408203125,0.009801228841145834,0.0009663899739583334,0.48638916015625,0.016087849934895832,0.4821065266927083,0.0018870035807291667,0.0027618408203125,0.009801228841145834,0.013529459635416666,0.48638916015625,0.016087849934895832,0.0018870035807291667,ACVR1,kinase
ENSG00000135503,12,51853375,52049982,196608,protein_coding,True,6,0.009531656901041666,0.019200642903645832,4.57763671875e-05,0.20203653971354166,0.07623291015625,0.21388753255208334,0.47906494140625,0.009531656901041666,0.019994099934895832,0.028778076171875,0.20203653971354166,0.07677714029947917,0.47906494140625,ACVR1B,kinase
ENSG00000123612,2,157530581,157727188,196608,protein_coding,True,1,0.0075225830078125,0.019114176432291668,1.52587890625e-05,0.4732462565104167,0.0024566650390625,0.005076090494791667,0.4925689697265625,0.0075225830078125,0.019505818684895832,0.026652018229166668,0.4732462565104167,0.0024566650390625,0.4925689697265625,ACVR1C,kinase
ENSG00000121989,2,147746074,147942681,196608,protein_coding,True,4,0.0078277587890625,0.019663492838541668,0.005304972330729167,0.4061991373697917,0.034108479817708336,0.028386433919270832,0.4985097249348958,0.0078277587890625,0.020711263020833332,0.032796223958333336,0.4061991373697917,0.0389404296875,0.4985097249348958,ACVR2A,kinase
ENSG00000114739,3,38355586,38552193,196608,protein_coding,True,7,0.0078125,0.052098592122395836,0.019968668619791668,0.11977132161458333,0.0933990478515625,0.5108388264973959,0.19611104329427084,0.0078125,0.052098592122395836,0.0798797607421875,0.11977132161458333,0.0950164794921875,0.19611104329427084,ACVR2B,kinase
ENSG00000139567,12,51808604,52005211,196608,protein_coding,True,11,0.0084228515625,0.018198649088541668,0.0016733805338541667,0.055394490559895836,0.115447998046875,0.3566792805989583,0.444183349609375,0.0084228515625,0.018224080403645832,0.028294881184895832,0.055394490559895836,0.115447998046875,0.444183349609375,ACVRL1,kinase
